Date,Store,Category,Sales,Units_Sold,Promotion
06-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5807.6,23,0
06-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,4339.05,17,0
06-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4987,19,0
06-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4923,19,0
07-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5789.35,23,0
07-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,4510.9,18,0
07-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5417.1,21,0
07-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5441.95,21,1
07-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5467.4,21,0
07-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,4714.75,18,1
07-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4569.1,18,0
07-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,4748.85,18,0
07-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5352.7,21,0
07-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,6090.45,24,0
07-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5013.4,20,0
07-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4651,18,1
07-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4607.25,18,0
07-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,6150.65,24,0
07-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4581.6,18,0
07-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4888.95,19,0
08-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5406.25,21,1
08-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5600.3,22,1
08-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4005.5,16,1
08-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5345,21,0
08-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,6019.95,24,0
08-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5206.45,20,0
08-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4391.55,17,0
08-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,4885.3,19,0
08-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5219.95,20,1
08-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,4747.5,18,0
08-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5155,20,0
08-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,5134.4,20,0
08-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4233.45,16,0
08-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5371.1,21,0
08-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4473.9,17,0
08-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4151.45,16,0
09-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5423.95,21,0
09-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,4571.65,18,0
09-01-2022,KPN Fresh Giri Nagar,Staples & Grains,6160.3,24,1
09-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5177.9,20,0
09-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5164.8,20,0
09-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5583.2,22,1
09-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,6201.85,24,0
09-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,4924.85,19,1
09-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5963.45,23,0
09-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,6518.75,26,0
09-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5224.45,20,0
09-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,5353.95,21,1
09-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4864.65,19,0
09-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,4641.55,18,0
09-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,6435.95,25,0
09-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5214.5,20,1
10-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5212.6,20,0
10-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5007.8,20,0
10-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4349.1,17,0
10-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5367.8,21,1
10-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4952,19,1
10-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5211.25,20,0
10-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4888.3,19,0
10-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5860.75,23,1
10-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,4110.4,16,0
10-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5997.45,23,0
10-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,6481.25,25,0
10-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,5642.8,22,0
10-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5138.35,20,1
10-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5158.9,20,1
10-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,5469.85,21,0
10-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5751.35,23,0
11-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5324.15,21,1
11-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,4903.2,19,0
11-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5121.65,20,0
11-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5577.2,22,0
11-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5690.3,22,0
11-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5160.2,20,0
11-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4989.9,19,0
11-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5358.3,21,1
11-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5038,20,0
11-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5126.6,20,0
11-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,4880.65,19,0
11-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,5546.65,22,0
11-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4934.55,19,0
11-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,4628.4,18,0
11-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,5622.2,22,0
11-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5224.25,20,0
12-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4551,18,0
12-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,4940.8,19,0
12-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5928.1,23,0
12-01-2022,KPN Fresh Giri Nagar,Frozen Foods,4225.95,16,0
12-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5672.7,22,0
12-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,4653.4,18,0
12-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5028.65,20,0
12-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5089.35,20,0
12-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5844.75,23,0
12-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5133.1,20,0
12-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5516.45,22,0
12-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4808.5,19,1
12-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4626.4,18,0
12-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5151.85,20,0
12-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4539.45,18,0
12-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5474.15,21,1
13-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5930.3,23,0
13-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,6219.25,24,0
13-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5141.5,20,0
13-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5091.6,20,1
13-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4509.5,18,0
13-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,4844.6,19,0
13-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4745.95,18,0
13-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5171.85,20,0
13-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5389.6,21,1
13-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5661.3,22,0
13-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5676.95,22,1
13-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,6112.55,24,0
13-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5351.3,21,0
13-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5715.8,22,0
13-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,5183.2,20,0
13-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,6266.65,25,0
14-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4798.7,19,0
14-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5070.55,20,0
14-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5145.15,20,0
14-01-2022,KPN Fresh Giri Nagar,Frozen Foods,4555.45,18,0
14-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5335.15,21,0
14-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5411.7,21,0
14-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5896.4,23,1
14-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5389.9,21,0
14-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5486.75,21,0
14-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5490.8,21,0
14-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5070.55,20,0
14-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4597.2,18,0
14-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5076.8,20,0
14-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,4530.25,18,0
14-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,5047.3,20,0
14-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4616.05,18,0
15-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5741.5,22,0
15-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,4399.6,17,1
15-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5474.45,21,0
15-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5042.5,20,1
15-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5255.85,21,0
15-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5219.35,20,0
15-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5628.4,22,0
15-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5153.8,20,0
15-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5709.5,22,0
15-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5182.5,20,1
15-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5638.55,22,0
15-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4785.1,19,1
15-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5463.6,21,0
15-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5200.1,20,1
15-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,4660.8,18,0
15-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5609.45,22,0
16-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5378.1,21,0
16-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5560.05,22,0
16-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4994.2,19,1
16-01-2022,KPN Fresh Giri Nagar,Frozen Foods,6595.45,26,0
16-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4824.45,19,1
16-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5066.4,20,0
16-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5817.1,23,0
16-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5186,20,0
16-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,4672.4,18,0
16-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5705.15,22,0
16-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,4436.55,17,0
16-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4895.9,19,1
16-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5637.7,22,0
16-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,4760,19,0
16-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,5930.65,23,0
16-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4929,19,0
17-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5414.35,21,0
17-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5334.5,21,0
17-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5546.4,22,0
17-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5626.25,22,0
17-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5980.65,23,1
17-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5327.75,21,0
17-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5545.05,22,1
17-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,4983.2,19,1
17-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5389,21,0
17-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5552.25,22,0
17-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,4764.35,19,0
17-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,6062.85,24,0
17-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,6257.65,25,0
17-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5336.05,21,0
17-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,5918.2,23,0
17-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5062.35,20,0
18-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,4884.35,19,0
18-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5016.1,20,0
18-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5153.85,20,0
18-01-2022,KPN Fresh Giri Nagar,Frozen Foods,6370.25,25,0
18-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5878.2,23,0
18-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5620.5,22,0
18-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5819,23,0
18-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5658.4,22,0
18-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,4921.75,19,0
18-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5670.05,22,0
18-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5588.65,22,0
18-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4955.7,19,0
18-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4706.15,18,0
18-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5924,23,1
18-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,5992.75,23,0
18-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5446.9,21,0
19-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5832.75,23,0
19-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5679.4,22,0
19-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4481.15,17,0
19-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5279.8,21,0
19-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,4440.7,17,0
19-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,4951,19,0
19-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5130.7,20,0
19-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,4810.05,19,1
19-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5794.4,23,1
19-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5788.65,23,0
19-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5343.15,21,1
19-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,5439.55,21,0
19-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,4496.05,17,0
19-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,5243.7,20,1
19-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,6226.15,24,0
19-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,4870,19,0
20-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,5512.05,22,0
20-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,4794.6,19,1
20-01-2022,KPN Fresh Giri Nagar,Staples & Grains,5693.15,22,0
20-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5956.25,23,0
20-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,6036.05,24,1
20-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5688.7,22,0
20-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,4788.8,19,0
20-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,4553.55,18,0
20-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,5399.9,21,0
20-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5824.9,23,0
20-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5538.2,22,0
20-01-2022,KPN Fresh J.P.Nagar,Frozen Foods,4429.8,17,1
20-01-2022,KPN Fresh BTM Layout (2nd Stage),Fruits and vegetables,5882.15,23,1
20-01-2022,KPN Fresh BTM Layout (2nd Stage),Dairy & Eggs,4938.2,19,0
20-01-2022,KPN Fresh BTM Layout (2nd Stage),Staples & Grains,5702,22,0
20-01-2022,KPN Fresh BTM Layout (2nd Stage),Frozen Foods,5265.25,21,1
21-01-2022,KPN Fresh Giri Nagar,Fruits and vegetables,3999.85,15,0
21-01-2022,KPN Fresh Giri Nagar,Dairy & Eggs,5039.3,20,0
21-01-2022,KPN Fresh Giri Nagar,Staples & Grains,4761.95,19,0
21-01-2022,KPN Fresh Giri Nagar,Frozen Foods,5193.65,20,0
21-01-2022,KPN Fresh R.R.Nagar-,Fruits and vegetables,5536.85,22,0
21-01-2022,KPN Fresh R.R.Nagar-,Dairy & Eggs,5571.5,22,0
21-01-2022,KPN Fresh R.R.Nagar-,Staples & Grains,5776.25,23,0
21-01-2022,KPN Fresh R.R.Nagar-,Frozen Foods,5497.6,21,1
21-01-2022,KPN Fresh J.P.Nagar,Fruits and vegetables,4986.6,19,0
21-01-2022,KPN Fresh J.P.Nagar,Dairy & Eggs,5491.4,21,1
21-01-2022,KPN Fresh J.P.Nagar,Staples & Grains,5977.8,23,0
